SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,screenFixationX,screenFixationY,gazeFixationX,gazeFixationY,gazeFixationZ,localGazeX,localGazeY,localGazeZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,leftEyeRotationX,leftEyeRotationY,leftEyeRotationZ,rightEyeRotationX,rightEyeRotationY,rightEyeRotationZ,leftEyePupilSize,rightEyePupilSize,leftEyeOpenAmount,rightEyeOpenAmount
0,3_27,11_34_21,3.021065,1,0,0,0,0.537899,0.78,0.66,0.42,1.59,1.57,-0.15,-0.01,0.99,33.66,1.13,-34.89,-30.23,1.18,-33.39,0.19,0.01,0.98,0.18,0.03,0.98,3.37149,3.465302,1,1
0,3_27,11_34_21,3.045015,1,0,0,0,0.5618494,0.78,0.66,0.42,1.59,1.57,-0.15,0,0.99,33.61,1.09,-34.87,-30.3,1.12,-33.36,0.18,0,0.98,0.16,0.03,0.99,3.35141,3.412933,1,1
0,3_27,11_34_21,3.057618,1,0,0,0,0.5744524,0.78,0.66,0.41,1.59,1.57,-0.15,0,0.99,33.6,1.07,-34.87,-30.32,1.09,-33.35,0.18,0.01,0.98,0.16,0.04,0.99,3.4086,3.425171,1,1
0,3_27,11_34_21,3.06955,1,0,0,0,0.5863845,0.78,0.66,0.41,1.59,1.57,-0.15,0,0.99,33.59,1.04,-34.86,-30.33,1.06,-33.27,0.17,0,0.99,0.16,0.03,0.99,3.350754,3.364563,1,1
0,3_27,11_34_21,3.081198,1,0,0,0,0.598032,0.78,0.66,0.41,1.59,1.57,-0.16,0,0.99,33.59,1.03,-34.87,-30.34,1.04,-33.21,0.17,0.01,0.98,0.17,0.02,0.99,3.419189,3.345932,1,1
0,3_27,11_34_21,3.093538,1,0,0,0,0.6103721,0.78,0.66,0.41,1.6,1.57,-0.16,0,0.99,33.58,1.02,-34.87,-30.34,1.05,-33.27,0.17,0,0.98,0.16,0.02,0.99,3.344131,3.384796,1,1
0,3_27,11_34_21,3.105476,1,0,0,0,0.6223106,0.78,0.66,0.41,1.6,1.57,-0.16,0,0.99,33.58,1.02,-34.87,-30.35,1.06,-33.29,0.17,0,0.99,0.16,0.02,0.99,3.357559,3.36824,1,1
0,3_27,11_34_21,3.117611,1,0,0,0,0.6344454,0.78,0.67,0.41,1.6,1.57,-0.16,0,0.99,33.58,1.02,-34.87,-30.35,1.07,-33.31,0.17,0.01,0.98,0.16,0.02,0.99,3.360382,3.377914,1,1
0,3_27,11_34_21,3.129159,1,0,0,0,0.645993,0.78,0.67,0.41,1.6,1.57,-0.16,0,0.99,33.58,1.02,-34.87,-30.36,1.08,-33.33,0.17,0.01,0.99,0.16,0.02,0.99,3.343475,3.371902,1,1
0,3_27,11_34_21,3.141087,1,0,0,0,0.6579213,0.78,0.67,0.41,1.6,1.57,-0.16,0,0.99,33.58,1.08,-34.86,-30.36,1.09,-33.34,0.17,0,0.99,0.16,0.02,0.99,3.311127,3.363983,1,1
0,3_27,11_34_21,3.153681,1,0,0,0,0.6705153,0.78,0.67,0.41,1.6,1.57,-0.16,0,0.99,33.58,1.09,-34.86,-30.36,1.09,-33.34,0.17,0,0.98,0.16,0.02,0.99,3.313782,3.357529,1,1
0,3_27,11_34_21,3.165336,1,0,0,0,0.6821699,0.78,0.67,0.41,1.6,1.57,-0.16,0,0.99,33.58,1.1,-34.86,-30.36,1.1,-33.36,0.17,0,0.99,0.16,0.02,0.99,3.311752,3.356689,1,1
0,3_27,11_34_21,3.180378,1,0,0,0,0.6972122,0.78,0.67,0.41,1.6,1.57,-0.16,0,0.99,33.58,1.1,-34.86,-30.36,1.11,-33.37,0.17,0,0.99,0.16,0.02,0.99,3.315247,3.353226,1,1
0,3_27,11_34_21,3.192524,1,0,0,0,0.7093585,0.78,0.67,0.41,1.6,1.57,-0.16,0,0.99,33.58,1.11,-34.86,-30.36,1.13,-33.43,0.17,0,0.99,0.16,0.02,0.99,3.316162,3.35144,1,1
0,3_27,11_34_21,3.205172,1,0,0,0,0.7220066,0.78,0.67,0.41,1.6,1.57,-0.16,0,0.99,33.58,1.12,-34.86,-30.36,1.15,-33.46,0.17,0,0.99,0.16,0.02,0.99,3.321121,3.359299,1,1
0,3_27,11_34_21,3.217964,1,0,0,0,0.7347982,0.78,0.67,0.41,1.6,1.57,-0.16,0,0.99,33.58,1.12,-34.86,-30.36,1.18,-33.51,0.17,0.01,0.99,0.16,0.02,0.99,3.314926,3.349121,1,1
0,3_27,11_34_21,3.231224,1,0,0,0,0.7480581,0.78,0.67,0.41,1.6,1.57,-0.16,0,0.99,33.58,1.13,-34.86,-30.36,1.21,-33.51,0.17,0.01,0.99,0.16,0.02,0.99,3.313644,3.358932,1,1
0,3_27,11_34_21,3.242914,1,0,0,0,0.7597485,0.78,0.67,0.41,1.6,1.57,-0.16,0.01,0.99,33.58,1.13,-34.86,-30.36,1.21,-33.51,0.17,0.01,0.99,0.16,0.02,0.99,3.313339,3.360245,1,1
0,3_27,11_34_21,3.254165,1,0,0,0,0.7709992,0.78,0.67,0.41,1.6,1.57,-0.16,0.01,0.99,33.59,1.13,-34.86,-30.35,1.21,-33.51,0.17,0.01,0.99,0.16,0.02,0.99,3.316498,3.36058,1,1
0,3_27,11_34_21,3.266644,1,0,0,0,0.7834778,0.78,0.67,0.41,1.6,1.57,-0.16,0.01,0.99,33.59,1.13,-34.86,-30.35,1.21,-33.51,0.17,0.01,0.99,0.16,0.02,0.99,3.314697,3.378098,1,1
0,3_27,11_34_21,3.278217,1,0,0,0,0.7950509,0.78,0.67,0.41,1.6,1.57,-0.16,0.01,0.99,33.59,1.13,-34.86,-30.34,1.21,-33.51,0.17,0.01,0.99,0.16,0.02,0.99,3.315125,3.377914,1,1
0,3_27,11_34_21,3.290026,1,0,0,0,0.8068602,0.78,0.67,0.41,1.6,1.57,-0.16,0.01,0.99,33.61,1.13,-34.87,-30.32,1.21,-33.48,0.16,0.01,0.99,0.16,0.02,0.99,3.331146,3.395737,1,1
0,3_27,11_34_21,3.304301,1,0,0,0,0.8211348,0.78,0.67,0.41,1.6,1.57,-0.16,0.01,0.99,33.61,1.13,-34.87,-30.31,1.21,-33.47,0.16,0.01,0.99,0.16,0.02,0.99,3.342621,3.409012,1,1
0,3_27,11_34_21,3.316978,1,0,0,0,0.8338118,0.78,0.67,0.41,1.6,1.57,-0.16,0.01,0.99,33.62,1.13,-34.88,-30.31,1.19,-33.44,0.17,0,0.99,0.16,0.03,0.99,3.342773,3.459122,1,1
0,3_27,11_34_21,3.328706,1,0,0,0,0.8455403,0.78,0.67,0.41,1.6,1.57,-0.16,0.01,0.99,33.62,1.13,-34.88,-30.3,1.19,-33.43,0.17,0,0.99,0.16,0.02,0.99,3.343567,3.472397,1,1
0,3_27,11_34_21,3.341138,1,0,0,0,0.8579721,0.78,0.67,0.41,1.61,1.57,-0.16,0.01,0.99,33.63,1.13,-34.88,-30.29,1.17,-33.41,0.17,0,0.99,0.16,0.03,0.99,3.376999,3.474197,1,1
0,3_27,11_34_21,3.353168,1,0,0,0,0.8700025,0.78,0.66,0.41,1.61,1.57,-0.16,0.01,0.99,33.63,1.13,-34.88,-30.29,1.16,-33.38,0.17,0,0.99,0.16,0.03,0.99,3.380768,3.501602,1,1
0,3_27,11_34_21,3.365104,1,0,0,0,0.8819382,0.78,0.66,0.41,1.61,1.57,-0.16,0.01,0.99,33.63,1.13,-34.88,-30.29,1.15,-33.34,0.17,0,0.99,0.16,0.03,0.99,3.400146,3.48262,1,1
0,3_27,11_34_21,3.37738,1,0,0,0,0.8942139,0.78,0.66,0.4,1.61,1.57,-0.16,0.01,0.99,33.64,1.12,-34.89,-30.29,1.15,-33.34,0.17,0,0.99,0.16,0.03,0.99,3.403061,3.482391,1,1
0,3_27,11_34_21,3.389883,1,0,0,0,0.9067173,0.78,0.66,0.4,1.61,1.57,-0.16,0.01,0.99,33.64,1.12,-34.89,-30.29,1.15,-33.34,0.17,0,0.98,0.16,0.03,0.99,3.413681,3.505692,1,1
0,3_27,11_34_21,3.40276,1,0,0,0,0.9195945,0.78,0.66,0.4,1.61,1.57,-0.16,0.01,0.99,33.64,1.12,-34.89,-30.29,1.15,-33.34,0.17,0,0.98,0.16,0.03,0.99,3.416626,3.505875,1,1
0,3_27,11_34_21,3.414794,1,0,0,0,0.9316287,0.78,0.66,0.4,1.61,1.57,-0.16,0.01,0.99,33.64,1.12,-34.89,-30.29,1.15,-33.34,0.17,0,0.98,0.16,0.03,0.99,3.426147,3.505646,1,1
0,3_27,11_34_21,3.426366,1,0,0,0,0.9432006,0.78,0.66,0.4,1.61,1.57,-0.16,0.01,0.99,33.64,1.12,-34.89,-30.29,1.14,-33.34,0.17,0,0.98,0.16,0.03,0.99,3.437881,3.481216,1,1
